Date : 2021-05-09 17:25:30
Directory : /Users/tantianyi/Documents/MyWork/MyGraduationProject/create
Total : 110 files,  50521 codes, 1263 comments, 897 blanks, all 52681 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          5 |     42,732 |        250 |          4 |     42,986 |
| TypeScript React |         63 |      6,003 |        706 |        451 |      7,160 |
| JavaScript       |         18 |        738 |        131 |        110 |        979 |
| Markdown         |          6 |        439 |         39 |        246 |        724 |
| TypeScript       |          7 |        424 |         53 |         45 |        522 |
| YAML             |          5 |         77 |          8 |         20 |        105 |
| HTML             |          1 |         49 |          8 |          4 |         61 |
| Ignore           |          1 |         33 |         12 |         12 |         57 |
| XML              |          1 |         23 |          0 |          1 |         24 |
| CSS              |          3 |          3 |         56 |          4 |         63 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        110 |     50,521 |      1,263 |        897 |     52,681 |
| .erb                                                                                                                    |         15 |        649 |        113 |         93 |        855 |
| .erb/configs                                                                                                            |          6 |        502 |        106 |         68 |        676 |
| .erb/mocks                                                                                                              |          1 |          1 |          0 |          1 |          2 |
| .erb/scripts                                                                                                            |          8 |        146 |          7 |         24 |        177 |
| .github                                                                                                                 |          8 |        113 |         47 |         49 |        209 |
| .github/ISSUE_TEMPLATE                                                                                                  |          3 |         36 |         39 |         29 |        104 |
| .github/workflows                                                                                                       |          2 |         56 |          2 |         16 |         74 |
| assets                                                                                                                  |          2 |         35 |          0 |          4 |         39 |
| src                                                                                                                     |         72 |      6,518 |        799 |        501 |      7,818 |
| src/Calendar                                                                                                            |          2 |        226 |         16 |         11 |        253 |
| src/Chat                                                                                                                |         11 |        514 |        110 |         52 |        676 |
| src/Chat/DataInterface                                                                                                  |          3 |         22 |         24 |          6 |         52 |
| src/Chat/Messages                                                                                                       |          3 |         14 |         24 |          8 |         46 |
| src/Chat/components                                                                                                     |          3 |        231 |         34 |         17 |        282 |
| src/Gantt                                                                                                               |          6 |        305 |         35 |         30 |        370 |
| src/Gantt/Components                                                                                                    |          1 |         90 |         11 |          5 |        106 |
| src/Gantt/DataInterface                                                                                                 |          1 |          2 |          8 |          3 |         13 |
| src/Home                                                                                                                |          7 |        825 |         76 |         49 |        950 |
| src/Home/Messages                                                                                                       |          4 |         13 |         32 |          6 |         51 |
| src/Home/pages                                                                                                          |          2 |        785 |         34 |         40 |        859 |
| src/Login                                                                                                               |          3 |        544 |         28 |         28 |        600 |
| src/Login/views                                                                                                         |          2 |        420 |         18 |         24 |        462 |
| src/Members                                                                                                             |          1 |         71 |          8 |          3 |         82 |
| src/Projects                                                                                                            |          3 |        766 |         86 |         37 |        889 |
| src/Projects/components                                                                                                 |          2 |        488 |         74 |         24 |        586 |
| src/SyncEdit                                                                                                            |         11 |        534 |         74 |         67 |        675 |
| src/SyncEdit/Components                                                                                                 |          3 |        304 |         18 |         29 |        351 |
| src/SyncEdit/DataInterface                                                                                              |          3 |         23 |         16 |          9 |         48 |
| src/SyncEdit/Messages                                                                                                   |          4 |         13 |         32 |          9 |         54 |
| src/Tasks                                                                                                               |         11 |      1,724 |        137 |        124 |      1,985 |
| src/Tasks/Components                                                                                                    |          4 |      1,472 |         84 |         90 |      1,646 |
| src/Tasks/DataInterface                                                                                                 |          1 |         10 |          8 |          2 |         20 |
| src/Tasks/Messages                                                                                                      |          5 |         22 |         32 |         11 |         65 |
| src/__tests__                                                                                                           |          1 |          9 |          0 |          2 |         11 |
| src/utils                                                                                                               |          8 |        354 |         75 |         35 |        464 |
| src/utils/components                                                                                                    |          5 |        312 |         51 |         29 |        392 |
| typings                                                                                                                 |          4 |         23 |         32 |          6 |         61 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                | language         | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/tantianyi/Documents/MyWork/MyGraduationProject/create/.erb/configs/webpack.config.base.js                        | JavaScript       |         34 |         19 |          7 |         60 |
